fragen_s162_f0	Kommunalpolitikerkeywordtag 	fragen 	nach der Möglichkeit von Koalitionsbildungen , nach der Stabilität von Koalitionen . 
fragen_s163_f0	Siekeywordtag 	fragen 	danach - nach wie vor - , ob man überhaupt mit rechten Abgeordneten reden dürfe . 
fragen_s164_f0	Und siekeywordtag 	fragen 	danach , ob man sich von rechten Politikern wählen lassen dürfe . 
fragen_s166_f0	Wenn Siekeywordtag also 	fragen 	, ist das ein langfristiger Prozeß oder ein kurzfristiger : 
fragen_s2677_f0	`` Bist du sicher , daß du schwanger bist ? '' , 	fragen 	siekeywordtag unter höhnischem Gelächter . 
fragen_s2688_f0	`` Spürst du das ? '' , 	fragt 	erkeywordtag , `` spürst du den Knüppel ? 
fragen_s2704_f1	Immer wieder 	fragt 	die junge Frau nach einem Arzt , besteht darauf , untersucht zu werden . 
fragen_s2707_f0	`` Wozu willst du einen Arzt ? '' , 	fragen 	siekeywordtag , `` bei dir ist doch nichts gebrochen ! '' 
fragen_s4618_f0	Die Verantwortlichen mußten sich am Sonntag 	fragen 	lassen , warum ein rechtsgerichteter Jude am Vorabend mit solcher Leichtigkeit den Ministerpräsidenten erschießen konnte . 
fragen_s4619_f0	`` Wieso konnte der Attentäter mit einer Waffe herumlaufen , bis zur Rednertribüne vordringen , seine Pistole ziehen und drei Kugeln vom Kaliber neun Millimeter abgeben ? '' , 	fragte 	der frühere Chef der Spezialeinheit und persönliche Freund Rabins , Sari Awiwi , stellvertretend für viele Israelis . 
fragen_s4948_f0	Daskeywordtag 	frage 	ichkeywordtag mich manchmal selbst . 
fragen_s7068_f0	Vor vielen Jahren schwärmte ich von diesem ersten meiner Lieblingsfilme , als einer der Zuhörer michkeywordtag 	fragte 	, ob Fellinis Film Einfluß gehabt habe auf die Titelgebung eines Stückes - The Road - , das gerade seine Uraufführung erlebt hatte . 
fragen_s7495_f0	Der Kanzler hat einmal gesagt , wenn erkeywordtag sich selbst 	frage 	, wie er sich verhalten hätte , wenn er in der DDR aufgewachsen wäre , empfinde er viel Verständnis für die Menschen , die ihr Leben dort leben mußten . 
fragen_s8470_f0	`` Haben Sie schon mal gehört '' , 	fragt 	einer aus dem SPD-Troß , `` daß Ringstorff den Friese deckelt ? '' 
fragen_s9553_f0	Ichkeywordtag 	frage 	mich , ob einer der Gründe für die Feindseligkeit , die manchmal gegen dieses Buch auftaucht , nicht gerade darin liegt , daß es zu zweit geschrieben worden ist , denn die Leute lieben Zerwürfnisse und Zuschreibungen . 
fragen_s10331_f0	`` Wer hat Arafath gewählt ? '' , 	fragte 	der iranische Außenminister und setzte sich für eine Wahl unter den Palästinensern ein . 
fragen_s11456_f0	Wenn wir über wachsende Kriminalität , über das von Extremisten und Terroristen getriebene Unwesen oder über die von den Skinheads entfachten Hetzjagden hören , 	fragen 	wirkeywordtag uns oft : wo haben die Menschen so was her ? 
